chr	tss	strand	gene_name	gene_id
chr17	9959495	-	GAS7	GAS7
chr16	90019628	+	GAS8	GAS8
chr16	90029901	-	GAS8-AS1	GAS8-AS1
chr8	102806821	+	GASAL1	GASAL1
chr3	42979310	+	GASK1A	GASK1A
chr4	158172373	-	GASK1B	GASK1B
chr17	41712330	+	GAST	GAST
chrX	48786589	+	GATA1	GATA1
chr3	128487921	-	GATA2	GATA2
chr3	128489202	+	GATA2-AS1	GATA2-AS1
chr10	8054687	+	GATA3	GATA3
chr10	8052491	-	GATA3-AS1	GATA3-AS1
chr8	11676934	+	GATA4	GATA4
chr20	62475995	-	GATA5	GATA5
chr18	22169588	+	GATA6	GATA6
chr18	22168968	-	GATA6-AS1	GATA6-AS1
chr7	92447481	+	GATAD1	GATAD1
chr19	19385842	+	GATAD2A	GATAD2A
chr1	153922972	-	GATAD2B	GATAD2B
chr4	151761007	-	GATB	GATB
chr12	120446443	+	GATC	GATC
chr11	777487	-	GATD1	GATD1
chr21	5128369	-	GATD3A	GATD3A
chr21	5128369	-	GATD3B	GATD3B
chr15	45378544	-	GATM	GATM
chr12	4720102	-	GAU1	GAU1
chr1	155241249	-	GBA	GBA
chr9	35749228	-	GBA2	GBA2
chr4	22692913	+	GBA3	GBA3
chr1	155227534	-	GBAP1	GBAP1
chr3	81761645	-	GBE1	GBE1
chr10	102245531	+	GBF1	GBF1
chr9	133163914	-	GBGT1	GBGT1
chr1	89065208	-	GBP1	GBP1
chr1	89407678	+	GBP1P1	GBP1P1
chr1	89126114	-	GBP2	GBP2
chr1	89022866	-	GBP3	GBP3
chr1	89198942	-	GBP4	GBP4
chr1	89272860	-	GBP5	GBP5
chr1	89363876	+	GBP6	GBP6
chr1	89176003	-	GBP7	GBP7
chr7	151167548	-	GBX1	GBX1
chr2	236168386	-	GBX2	GBX2
chr4	71784079	-	GC	GC
chr2	162318762	+	GCA	GCA
chr22	37807904	+	GCAT	GCAT
chr7	127585596	-	GCC1	GCC1
chr2	108449205	+	GCC2	GCC2
chr2	108534219	-	GCC2-AS1	GCC2-AS1
chr19	12891128	+	GCDH	GCDH
chr2	75710915	-	GCFC2	GCFC2
chr2	162152247	-	GCG	GCG
chr17	81804149	+	GCGR	GCGR
chr14	54902824	-	GCH1	GCH1
chr15	40764067	+	GCHFR	GCHFR
chr7	44146144	-	GCK	GCK
chr2	27496838	+	GCKR	GCKR
chr6	53545101	-	GCLC	GCLC
chr1	93909430	-	GCLM	GCLM
chr6	53148841	-	GCM1	GCM1
chr6	10882041	-	GCM2	GCM2
chr12	120194715	-	GCN1	GCN1
chrX	71578023	+	GCNA	GCNA
chr9	76441665	+	GCNT1	GCNT1
chr6	10521350	+	GCNT2	GCNT2
chr15	59611782	+	GCNT3	GCNT3
chr5	75052558	-	GCNT4	GCNT4
chr20	56525925	-	GCNT7	GCNT7
chr15	57591903	+	GCOM1	GCOM1
chr3	112133248	-	GCSAM	GCSAM
chr1	247507057	+	GCSAML	GCSAML
chr1	247530804	-	GCSAML-AS1	GCSAML-AS1
chr16	81096395	-	GCSH	GCSH
chr2	206116572	-	GCSHP3	GCSHP3
chr2	230886545	+	GCSIR	GCSIR
chr9	72114594	+	GDA	GDA
chr8	74350382	+	GDAP1	GDAP1
chr20	44247098	+	GDAP1L1	GDAP1L1
chr1	117929621	-	GDAP2	GDAP2
chr16	19522098	-	GDE1	GDE1
chr19	18896158	-	GDF1	GDF1
chr10	47300196	+	GDF10	GDF10
chr12	55743121	+	GDF11	GDF11
chr19	18386157	+	GDF15	GDF15
chr10	47322453	+	GDF2	GDF2
chr12	7695775	-	GDF3	GDF3
chr20	35438228	-	GDF5	GDF5
chr20	35433028	+	GDF5-AS1	GDF5-AS1
chr8	96160806	-	GDF6	GDF6
chr2	20667143	+	GDF7	GDF7
chr5	132865361	-	GDF9	GDF9
chrX	154437153	+	GDI1	GDI1
chr10	5813434	-	GDI2	GDI2
chr5	37834822	-	GDNF	GDNF
chr5	37839883	+	GDNF-AS1	GDNF-AS1
chr17	59220510	+	GDPD1	GDPD1
chrX	70423030	+	GDPD2	GDPD2
chr16	30113537	-	GDPD3	GDPD3
chr11	77301686	-	GDPD4	GDPD4
chr11	75452327	-	GDPD5	GDPD5
chr15	90234208	+	GDPGP1	GDPGP1
chr8	94262319	-	GEM	GEM
chr14	39114322	+	GEMIN2	GEMIN2
chr17	752264	-	GEMIN4	GEMIN4
chr5	154938211	-	GEMIN5	GEMIN5
chr2	38778209	+	GEMIN6	GEMIN6
chr19	45075626	+	GEMIN7	GEMIN7
chr19	45090391	-	GEMIN7-AS1	GEMIN7-AS1
chrX	14029892	-	GEMIN8	GEMIN8
chr1	89994966	-	GEMIN8P4	GEMIN8P4
chr2	17753868	+	GEN1	GEN1
chr21	39380243	+	GET1	GET1
chr21	39380325	+	GET1-SH3BGR	GET1-SH3BGR
chr19	12737105	+	GET3	GET3
chr7	876553	+	GET4	GET4
chr17	44915500	-	GFAP	GFAP
chr16	1984192	+	GFER	GFER
chr1	92483954	-	GFI1	GFI1
chr9	132945530	+	GFI1B	GFI1B
chr3	158644526	+	GFM1	GFM1
chr5	74767117	-	GFM2	GFM2
chr6	13408137	-	GFOD1	GFOD1
chr16	67719316	-	GFOD2	GFOD2
chr2	69387227	-	GFPT1	GFPT1
chr5	180353336	-	GFPT2	GFPT2
chr10	116255795	-	GFRA1	GFRA1
chr8	21788875	-	GFRA2	GFRA2
chr5	138274621	-	GFRA3	GFRA3
chr20	3663399	-	GFRA4	GFRA4
chr6	55327468	+	GFRAL	GFRAL
chr8	143617549	-	GFUS	GFUS
chr19	49423746	+	GFY	GFY
chr22	37608473	+	GGA1	GGA1
chr16	23510494	-	GGA2	GGA2
chr17	75261606	-	GGA3	GGA3
chr13	100533802	-	GGACT	GGACT
chr7	30504829	-	GGCT	GGCT
chr2	85561493	-	GGCX	GGCX
chr8	63038806	-	GGH	GGH
chr19	38388034	-	GGN	GGN
chr6	33583698	+	GGNBP1	GGNBP1
chr17	36544918	+	GGNBP2	GGNBP2
chr1	235327215	+	GGPS1	GGPS1
chr22	24583749	+	GGT1	GGT1
chr22	21277862	-	GGT2	GGT2
chr22	18791961	-	GGT3P	GGT3P
chr22	24245142	-	GGT5	GGT5
chr17	4560577	-	GGT6	GGT6
chr20	34872856	-	GGT7	GGT7
chr2	91775341	+	GGT8P	GGT8P
chr9	121498710	-	GGTA1	GGTA1
chr20	23986875	-	GGTLC1	GGTLC1
chr22	22644619	+	GGTLC2	GGTLC2
chr22	18518161	-	GGTLC3	GGTLC3
chr17	63918839	-	GH1	GH1
chr17	63881944	-	GH2	GH2
chr17	42194494	-	GHDC	GHDC
chr7	148987526	+	GHET1	GHET1
chr10	84139508	+	GHITM	GHITM
chr5	42423438	+	GHR	GHR
chr20	37261814	-	GHRH	GHRH
chr7	30963952	+	GHRHR	GHRHR
chr3	10292947	-	GHRL	GHRL
chr3	10280951	+	GHRLOS	GHRLOS
chr3	172448456	-	GHSR	GHSR
chr17	18039407	+	GID4	GID4
chr20	62938146	+	GID8	GID8
chr7	100694250	-	GIGYF1	GIGYF1
chr2	232697330	+	GIGYF2	GIGYF2
chr12	57936164	-	GIHCG	GIHCG
chr7	150716612	+	GIMAP1	GIMAP1
chr7	150716556	+	GIMAP1-GIMAP5	GIMAP1-GIMAP5
chr7	150685705	+	GIMAP2	GIMAP2
chr7	150567369	+	GIMAP4	GIMAP4
chr7	150737347	+	GIMAP5	GIMAP5
chr7	150632385	-	GIMAP6	GIMAP6
chr7	150514871	+	GIMAP7	GIMAP7
chr7	150450629	+	GIMAP8	GIMAP8
chr4	106368778	-	GIMD1	GIMD1
chr5	103120138	-	GIN1	GIN1
chr6	149566374	+	GINM1	GINM1
chr20	25407672	+	GINS1	GINS1
chr16	85688954	-	GINS2	GINS2
chr16	58392470	+	GINS3	GINS3
chr8	41529260	+	GINS4	GINS4
chr17	48968596	-	GIP	GIP
chr19	14496127	-	GIPC1	GIPC1
chr1	78044969	+	GIPC2	GIPC2
chr19	3585477	+	GIPC3	GIPC3
chr19	45668220	+	GIPR	GIPR
chr17	29589648	-	GIT1	GIT1
chr12	109996368	-	GIT2	GIT2
chr6	121435645	+	GJA1	GJA1
chr6	89894468	+	GJA10	GJA10
chr13	20161052	-	GJA3	GJA3
chr1	34792998	+	GJA4	GJA4
chr1	147760602	-	GJA5	GJA5
chr1	147902794	+	GJA8	GJA8
chr1	38881587	-	GJA9	GJA9
chr1	38881626	-	GJA9-MYCBP	GJA9-MYCBP
chrX	71215211	+	GJB1	GJB1
chr13	20192938	-	GJB2	GJB2
chr1	34781213	+	GJB3	GJB3
chr1	34759739	+	GJB4	GJB4
chr1	34755046	+	GJB5	GJB5
chr13	20231233	-	GJB6	GJB6
chr6	87329278	-	GJB7	GJB7
chr17	44830287	-	GJC1	GJC1
chr1	228149929	+	GJC2	GJC2
chr7	99929620	-	GJC3	GJC3
chr15	34754998	-	GJD2	GJD2
chr17	40364737	-	GJD3	GJD3
chr10	35605340	+	GJD4	GJD4
chr6	142133158	+	GJE1	GJE1
chrX	30653358	+	GK	GK
chr4	79408228	-	GK2	GK2
chr4	165280023	-	GK3P	GK3P
chr3	142225585	-	GK5	GK5
chr9	83817769	-	GKAP1	GKAP1
chr2	68974635	+	GKN1	GKN1
chr2	68952893	-	GKN2	GKN2
chrX	101407925	-	GLA	GLA
chr3	33096832	-	GLB1	GLB1
chr2	219243631	-	GLB1L	GLB1L
chr11	134331873	+	GLB1L2	GLB1L2
chr11	134276378	+	GLB1L3	GLB1L3
chr7	7968795	+	GLCCI1	GLCCI1
chr7	7968752	-	GLCCI1-DT	GLCCI1-DT
chr15	69160596	+	GLCE	GLCE
chr9	6645729	-	GLDC	GLDC
chr15	51341654	+	GLDN	GLDN
chr9	128504691	+	GLE1	GLE1
chr16	74607114	-	GLG1	GLG1
chr12	57459784	+	GLI1	GLI1
chr2	120735867	+	GLI2	GLI2
chr7	42237209	-	GLI3	GLI3
chr8	143267444	+	GLI4	GLI4
chr9	39810159	-	GLIDR	GLIDR
chr12	75480754	+	GLIPR1	GLIPR1
chr12	75334669	+	GLIPR1L1	GLIPR1L1
chr12	75391069	+	GLIPR1L2	GLIPR1L2
chr9	36136535	+	GLIPR2	GLIPR2
chr1	53734204	-	GLIS1	GLIS1
chr16	4314760	+	GLIS2	GLIS2
chr16	4328340	-	GLIS2-AS1	GLIS2-AS1
chr9	4152183	-	GLIS3	GLIS3
chr9	3898645	+	GLIS3-AS1	GLIS3-AS1
chr1	92298987	-	GLMN	GLMN
chr1	156295679	-	GLMP	GLMP
chr6	38703145	-	GLO1	GLO1
chr17	782280	-	GLOD4	GLOD4
chrX	48761746	+	GLOD5	GLOD5
chr6	39048780	+	GLP1R	GLP1R
chr17	9825923	+	GLP2R	GLP2R
chr5	151924851	-	GLRA1	GLRA1
chrX	14529297	+	GLRA2	GLRA2
chr4	174829247	-	GLRA3	GLRA3
chrX	103728495	-	GLRA4	GLRA4
chr4	157076124	+	GLRB	GLRB
chr5	95822726	-	GLRX	GLRX
chr1	193105414	-	GLRX2	GLRX2
chr10	130136374	+	GLRX3	GLRX3
chr14	95535049	+	GLRX5	GLRX5
chr2	190880820	+	GLS	GLS
chr12	56488161	-	GLS2	GLS2
chr12	128853477	+	GLT1D1	GLT1D1
chr9	135639540	-	GLT6D1	GLT6D1
chr3	52703698	-	GLT8D1	GLT8D1
chr12	104050187	-	GLT8D2	GLT8D2
chr12	109880541	-	GLTP	GLTP
chr17	4788963	+	GLTPD2	GLTPD2
chr10	87094087	-	GLUD1	GLUD1
chr10	46786770	-	GLUD1P2	GLUD1P2
chr10	73730561	+	GLUD1P3	GLUD1P3
chrX	121047609	+	GLUD2	GLUD2
chr1	182391404	-	GLUL	GLUL
chr11	58731943	-	GLYAT	GLYAT
chr11	58905397	+	GLYATL1	GLYATL1
chr11	59086306	+	GLYATL1B	GLYATL1B
chr11	58844704	-	GLYATL2	GLYATL2
chr6	49499922	+	GLYATL3	GLYATL3
chr12	54610462	-	GLYCAM1	GLYCAM1
chr3	52287819	+	GLYCTK	GLYCTK
chr3	52289733	-	GLYCTK-AS1	GLYCTK-AS1
chr16	4847288	-	GLYR1	GLYR1
chr5	151253184	+	GM2A	GM2A
chr2	69829659	+	GMCL1	GMCL1
chr5	178187371	-	GMCL2	GMCL2
chr6	2175991	-	GMDS	GMDS
chr6	2245752	+	GMDS-DT	GMDS-DT
chr1	28668783	+	GMEB1	GMEB1
chr20	63627101	-	GMEB2	GMEB2
chr14	54488980	-	GMFB	GMFB
chr19	39336043	-	GMFG	GMFG
chr19	19643657	-	GMIP	GMIP
chr8	142834800	+	GML	GML
chr3	190862694	-	GMNC	GMNC
chr6	24774936	+	GMNN	GMNN
chr2	219498890	+	GMPPA	GMPPA
chr3	49723951	-	GMPPB	GMPPB
chr6	16238586	+	GMPR	GMPR
chr14	24232621	+	GMPR2	GMPR2
chr3	155870649	+	GMPS	GMPS
chr19	3094361	+	GNA11	GNA11
chr7	2763140	-	GNA12	GNA12
chr17	65055774	-	GNA13	GNA13
chr9	77648322	-	GNA14	GNA14
chr9	77447648	+	GNA14-AS1	GNA14-AS1
chr19	3136032	+	GNA15	GNA15
chr7	80134830	+	GNAI1	GNAI1
chr3	50227067	+	GNAI2	GNAI2
chr1	109548614	+	GNAI3	GNAI3
chr18	11689263	+	GNAL	GNAL
chr16	56191488	+	GNAO1	GNAO1
chr9	78031811	-	GNAQ	GNAQ
chr20	58839747	+	GNAS	GNAS
chr20	58850903	-	GNAS-AS1	GNAS-AS1
chr3	50191609	+	GNAT1	GNAT1
chr1	109613084	-	GNAT2	GNAT2
chr7	80512064	-	GNAT3	GNAT3
chr22	23070518	+	GNAZ	GNAZ
chr1	1891087	-	GNB1	GNB1
chr22	19854874	-	GNB1L	GNB1L
chr7	100673739	+	GNB2	GNB2
chr12	6840924	+	GNB3	GNB3
chr3	179451470	-	GNB4	GNB4
chr15	52179691	-	GNB5	GNB5
chr9	36258448	-	GNE	GNE
chr9	111661604	+	GNG10	GNG10
chr7	93921734	+	GNG11	GNG11
chr1	67833467	-	GNG12	GNG12
chr1	67832287	+	GNG12-AS1	GNG12-AS1
chr16	800734	-	GNG13	GNG13
chr19	12687997	+	GNG14	GNG14
chr14	51860611	+	GNG2	GNG2
chr11	62707675	+	GNG3	GNG3
chr1	235649784	-	GNG4	GNG4
chr1	84506581	-	GNG5	GNG5
chr19	2702694	-	GNG7	GNG7
chr19	46634682	-	GNG8	GNG8
chr7	93906566	+	GNGT1	GNGT1
chr17	49209381	-	GNGT2	GNGT2
chr6	30557594	-	GNL1	GNL1
chr1	37595937	-	GNL2	GNL2
chr3	52685919	+	GNL3	GNL3
chrX	54530218	+	GNL3L	GNL3L
chr2	85694357	+	GNLY	GNLY
chr6	42960753	+	GNMT	GNMT
chr1	231241211	+	GNPAT	GNPAT
chr5	142013027	-	GNPDA1	GNPDA1
chr4	44726556	-	GNPDA2	GNPDA2
chr14	52791607	-	GNPNAT1	GNPNAT1
chr12	101830959	-	GNPTAB	GNPTAB
chr16	1351930	+	GNPTG	GNPTG
chr8	25424261	-	GNRH1	GNRH1
chr20	3043621	+	GNRH2	GNRH2
chr4	67754388	-	GNRHR	GNRHR
chr1	145919012	+	GNRHR2	GNRHR2
chr12	64759406	-	GNS	GNS
chr9	124941083	-	GOLGA1	GOLGA1
chr9	128275952	-	GOLGA2	GOLGA2
chr15	82513999	-	GOLGA2P10	GOLGA2P10
chr15	62248795	-	GOLGA2P11	GOLGA2P11
chrY	24214831	-	GOLGA2P2Y	GOLGA2P2Y
chrY	24214831	-	GOLGA2P3Y	GOLGA2P3Y
chr12	100173343	-	GOLGA2P5	GOLGA2P5
chr10	30371907	-	GOLGA2P6	GOLGA2P6
chr15	84230168	-	GOLGA2P7	GOLGA2P7
chr19	22596256	+	GOLGA2P9	GOLGA2P9
chr12	132828389	-	GOLGA3	GOLGA3
chr3	37243270	+	GOLGA4	GOLGA4
chr14	92794304	+	GOLGA5	GOLGA5
chr15	74082550	-	GOLGA6A	GOLGA6A
chr15	72654696	+	GOLGA6B	GOLGA6B
chr15	75258557	+	GOLGA6C	GOLGA6C
chr15	75282840	+	GOLGA6D	GOLGA6D
chr15	23136822	-	GOLGA6L1	GOLGA6L1
chr15	82349475	-	GOLGA6L10	GOLGA6L10
chr15	82519589	+	GOLGA6L17P	GOLGA6L17P
chr15	23447243	-	GOLGA6L2	GOLGA6L2
chr15	23334210	-	GOLGA6L22	GOLGA6L22
chr15	85240350	+	GOLGA6L3	GOLGA6L3
chr15	84235772	+	GOLGA6L4	GOLGA6L4
chr15	84516847	-	GOLGA6L5P	GOLGA6L5P
chr15	20541800	-	GOLGA6L6	GOLGA6L6
chr15	22776132	-	GOLGA6L7	GOLGA6L7
chr15	82429979	+	GOLGA6L9	GOLGA6L9
chr8	41490395	+	GOLGA7	GOLGA7
chr10	97849842	+	GOLGA7B	GOLGA7B
chr15	34389768	-	GOLGA8A	GOLGA8A
chr15	34583570	-	GOLGA8B	GOLGA8B
chr15	20562348	+	GOLGA8CP	GOLGA8CP
chr15	23157339	+	GOLGA8DP	GOLGA8DP
chr15	22438026	-	GOLGA8EP	GOLGA8EP
chr15	28378637	+	GOLGA8F	GOLGA8F
chr15	28378643	+	GOLGA8G	GOLGA8G
chr15	23354752	+	GOLGA8H	GOLGA8H
chr15	22617854	-	GOLGA8IP	GOLGA8IP
chr15	22617854	-	GOLGA8J	GOLGA8J
chr15	32403292	-	GOLGA8K	GOLGA8K
chr15	28712421	-	GOLGA8M	GOLGA8M
chr15	30604029	+	GOLGA8N	GOLGA8N
chr15	32455634	-	GOLGA8O	GOLGA8O
chr15	30552077	+	GOLGA8Q	GOLGA8Q
chr15	30414260	-	GOLGA8R	GOLGA8R
chr15	23354747	+	GOLGA8S	GOLGA8S
chr15	30135050	+	GOLGA8T	GOLGA8T
chr3	121749741	-	GOLGB1	GOLGB1
chr3	168095924	-	GOLIM4	GOLIM4
chr9	86099558	-	GOLM1	GOLM1
chr15	44288718	+	GOLM2	GOLM2
chr5	32174319	-	GOLPH3	GOLPH3
chr1	150697154	-	GOLPH3L	GOLPH3L
chr1	204213988	-	GOLT1A	GOLT1A
chr12	21501788	+	GOLT1B	GOLT1B
chr1	155857214	-	GON4L	GON4L
chr14	93207065	-	GON7	GON7
chr6	117602511	-	GOPC	GOPC
chr1	170532165	+	GORAB	GORAB
chr1	170532609	-	GORAB-AS1	GORAB-AS1
chr3	39107627	-	GORASP1	GORASP1
chr2	170928476	+	GORASP2	GORASP2
chr17	30477407	+	GOSR1	GOSR1
chr17	46923116	+	GOSR2	GOSR2
chr10	99430624	-	GOT1	GOT1
chr8	37940124	-	GOT1L1	GOT1L1
chr16	58734316	-	GOT2	GOT2
chr17	4932276	+	GP1BA	GP1BA
chr22	19723538	+	GP1BB	GP1BB
chr16	20327513	-	GP2	GP2
chr3	194399266	-	GP5	GP5
chr19	55038264	-	GP6	GP6
chr3	129060778	+	GP9	GP9
chr1	167090377	-	GPA33	GPA33
chr8	144082633	+	GPAA1	GPAA1
chr13	44989529	+	GPALPP1	GPALPP1
chr10	112183765	-	GPAM	GPAM
chr6	31664997	-	GPANK1	GPANK1
chr2	96035245	-	GPAT2	GPAT2
chr4	83535913	+	GPAT3	GPAT3
chr8	41578199	+	GPAT4	GPAT4
chr19	33080879	+	GPATCH1	GPATCH1
chr2	37084517	+	GPATCH11	GPATCH11
chr1	217631090	-	GPATCH2	GPATCH2
chr14	76151884	+	GPATCH2L	GPATCH2L
chr1	26900467	-	GPATCH3	GPATCH3
chr1	156601479	-	GPATCH4	GPATCH4
chr17	44436851	-	GPATCH8	GPATCH8
chr2	218259495	+	GPBAR1	GPBAR1
chr5	57173947	+	GPBP1	GPBP1
chr1	45686533	-	GPBP1L1	GPBP1L1
chr2	240435662	+	GPC1	GPC1
chr7	100177381	-	GPC2	GPC2
chrX	133985594	-	GPC3	GPC3
chrX	133897442	+	GPC3-AS1	GPC3-AS1
chrX	133415489	-	GPC4	GPC4
chr13	91398620	+	GPC5	GPC5
chr13	92719955	-	GPC5-AS1	GPC5-AS1
chr13	92352207	-	GPC5-AS2	GPC5-AS2
chr13	93226806	+	GPC6	GPC6
chr13	94187991	-	GPC6-AS1	GPC6-AS1
chr13	93858473	-	GPC6-AS2	GPC6-AS2
chr20	5611006	-	GPCPD1	GPCPD1
chr12	50104007	+	GPD1	GPD1
chr3	32106619	+	GPD1L	GPD1L
chr2	156435551	+	GPD2	GPD2
chr7	1086806	+	GPER1	GPER1
chr11	64935893	-	GPHA2	GPHA2
chr14	63318935	-	GPHB5	GPHB5
chr14	66508146	+	GPHN	GPHN
chr19	34364739	+	GPI	GPI
chr8	143213217	+	GPIHBP1	GPIHBP1
chrX	49123735	-	GPKOW	GPKOW
chr6	24489578	-	GPLD1	GPLD1
chr4	175787676	-	GPM6A	GPM6A
chrX	13817093	-	GPM6B	GPM6B
chr2	27628647	+	GPN1	GPN1
chr1	26890283	-	GPN2	GPN2
chr12	110468257	-	GPN3	GPN3
chr7	23246774	+	GPNMB	GPNMB
chr2	206213628	-	GPR1	GPR1
chr2	206203375	+	GPR1-AS	GPR1-AS
chrX	137033995	-	GPR101	GPR101
chr9	130053705	+	GPR107	GPR107
chr19	6737302	-	GPR108	GPR108
chrX	130385537	-	GPR119	GPR119
chr13	26760786	-	GPR12	GPR12
chr14	105065430	-	GPR132	GPR132
chr14	59465380	-	GPR135	GPR135
chr11	64270530	+	GPR137	GPR137
chr1	236142538	+	GPR137B	GPR137B
chr14	52552835	+	GPR137C	GPR137C
chr16	20073778	-	GPR139	GPR139
chr7	37683765	+	GPR141	GPR141
chr17	74367505	+	GPR142	GPR142
chrX	9765847	-	GPR143	GPR143
chr7	1044545	+	GPR146	GPR146
chr2	130729069	+	GPR148	GPR148
chr3	154430190	-	GPR149	GPR149
chr3	98531977	+	GPR15	GPR15
chr5	95620086	+	GPR150	GPR150
chr5	146516190	-	GPR151	GPR151
chr11	67452729	-	GPR152	GPR152
chr1	6261098	-	GPR153	GPR153
chr2	174487029	-	GPR155	GPR155
chr3	120285222	-	GPR156	GPR156
chr1	9129102	-	GPR157	GPR157
chr10	25175000	+	GPR158	GPR158
chr10	25176276	-	GPR158-AS1	GPR158-AS1
chr3	170037994	+	GPR160	GPR160
chr1	168136707	-	GPR161	GPR161
chr12	6821820	+	GPR162	GPR162
chr2	127645863	+	GPR17	GPR17
chr3	151203216	-	GPR171	GPR171
chrX	53048788	+	GPR173	GPR173
chrX	79144687	+	GPR174	GPR174
chr15	39829276	-	GPR176	GPR176
chr17	38343956	-	GPR179	GPR179
chr13	99258428	-	GPR18	GPR18
chr13	94601856	+	GPR180	GPR180
chr12	56994491	+	GPR182	GPR182
chr13	99307399	-	GPR183	GPR183
chr12	12696183	-	GPR19	GPR19
chr8	141367286	-	GPR20	GPR20
chr9	123033666	+	GPR21	GPR21
chr7	107470056	+	GPR22	GPR22
chr1	200872980	+	GPR25	GPR25
chr10	123666354	+	GPR26	GPR26
chr3	71753854	+	GPR27	GPR27
chr1	27392621	+	GPR3	GPR3
chr6	167157980	-	GPR31	GPR31
chr19	50770463	+	GPR32	GPR32
chr14	31487945	-	GPR33	GPR33
chrX	41688972	+	GPR34	GPR34
chr2	240605429	+	GPR35	GPR35
chr7	124765792	-	GPR37	GPR37
chr1	202122916	+	GPR37L1	GPR37L1
chr2	132416804	+	GPR39	GPR39
chr19	45602212	-	GPR4	GPR4
chr19	35371094	+	GPR42	GPR42
chr2	105241742	+	GPR45	GPR45
chrX	151176583	+	GPR50	GPR50
chrX	151177836	-	GPR50-AS1	GPR50-AS1
chr1	174447963	+	GPR52	GPR52
chr2	230925242	-	GPR55	GPR55
chr6	109978255	+	GPR6	GPR6
chr1	109539871	+	GPR61	GPR61
chr3	51955380	+	GPR62	GPR62
chr6	96837477	-	GPR63	GPR63
chr14	88005134	+	GPR65	GPR65
chr14	91244704	-	GPR68	GPR68
chr2	53859967	-	GPR75	GPR75
chr2	53860033	-	GPR75-ASB3	GPR75-ASB3
chr4	8580391	+	GPR78	GPR78
chrX	41724180	+	GPR82	GPR82
chr11	94401419	-	GPR83	GPR83
chr12	54364486	-	GPR84	GPR84
chr7	113086167	-	GPR85	GPR85
chr3	151316820	-	GPR87	GPR87
chr1	100538138	+	GPR88	GPR88
chr1	145607959	+	GPR89A	GPR89A
chr1	147928373	+	GPR89B	GPR89B
chr9	130144219	-	GPRACR	GPRACR
chrX	102651365	+	GPRASP1	GPRASP1
chrX	102712175	+	GPRASP2	GPRASP2
chr12	12891561	+	GPRC5A	GPRC5A
chr16	19884848	-	GPRC5B	GPRC5B
chr17	74432087	+	GPRC5C	GPRC5C
chr12	12950384	-	GPRC5D	GPRC5D
chr12	12927725	+	GPRC5D-AS1	GPRC5D-AS1
chr6	116829057	-	GPRC6A	GPRC6A
chr5	176610156	-	GPRIN1	GPRIN1
chr10	46556416	-	GPRIN2	GPRIN2
chr4	89307800	-	GPRIN3	GPRIN3
chr17	82051897	+	GPS1	GPS1
chr17	7315360	-	GPS2	GPS2
chr9	136327538	+	GPSM1	GPSM1
chr1	108876984	+	GPSM2	GPSM2
chr6	32192643	-	GPSM3	GPSM3
chr8	144503067	+	GPT	GPT
chr16	46884361	+	GPT2	GPT2
chr3	49358353	-	GPX1	GPX1
chr14	64942745	-	GPX2	GPX2
chr5	151020590	+	GPX3	GPX3
chr19	1103993	+	GPX4	GPX4
chr6	28525880	+	GPX5	GPX5
chr6	28515793	-	GPX6	GPX6
chr1	52602370	+	GPX7	GPX7
chr5	55160170	+	GPX8	GPX8
chr19	34994726	+	GRAMD1A	GRAMD1A
chr11	123358421	+	GRAMD1B	GRAMD1B
chr3	113838787	+	GRAMD1C	GRAMD1C
chr15	72197787	-	GRAMD2A	GRAMD2A
chr5	126360119	+	GRAMD2B	GRAMD2B
chr22	46577087	+	GRAMD4	GRAMD4
chr17	19046957	-	GRAP	GRAP
chr22	39901083	+	GRAP2	GRAP2
chr17	19127588	+	GRAPL	GRAPL
chr2	6918682	-	GRASLND	GRASLND
chr7	50705301	-	GRB10	GRB10
chr2	164568495	-	GRB14	GRB14
chr17	75405678	-	GRB2	GRB2
chr17	39737937	+	GRB7	GRB7
chr2	11534044	+	GREB1	GREB1
chr18	21242241	+	GREB1L	GREB1L
chr15	32718003	+	GREM1	GREM1
chr1	240612155	-	GREM2	GREM2
chr2	9951692	+	GRHL1	GRHL1
chr8	101492438	+	GRHL2	GRHL2
chr1	24319356	+	GRHL3	GRHL3
chr9	37422695	+	GRHPR	GRHPR
chr5	153490523	+	GRIA1	GRIA1
chr4	157220119	+	GRIA2	GRIA2
chrX	123184242	+	GRIA3	GRIA3
chr11	105610072	+	GRIA4	GRIA4
chr10	86366795	-	GRID1	GRID1
chr10	85577730	+	GRID1-AS1	GRID1-AS1
chr4	92303965	+	GRID2	GRID2
chr7	6551436	-	GRID2IP	GRID2IP
chr7	2476383	-	GRIFIN	GRIFIN
chr21	29939996	-	GRIK1	GRIK1
chr21	29748174	+	GRIK1-AS1	GRIK1-AS1
chr21	29596039	+	GRIK1-AS2	GRIK1-AS2
chr6	101393707	+	GRIK2	GRIK2
chr1	37034515	-	GRIK3	GRIK3
chr11	120511747	+	GRIK4	GRIK4
chr19	42065805	-	GRIK5	GRIK5
chr9	137139153	+	GRIN1	GRIN1
chr16	10182067	-	GRIN2A	GRIN2A
chr12	13981602	-	GRIN2B	GRIN2B
chr17	74859884	-	GRIN2C	GRIN2C
chr19	48393667	+	GRIN2D	GRIN2D
chr9	101738647	-	GRIN3A	GRIN3A
chr19	1000418	+	GRIN3B	GRIN3B
chr8	143990055	+	GRINA	GRINA
